Código;NOMBRE;"Agua
%";"Kcal.
Energía";"g
Proteina";"g
Grasa Total";"g
Carbo-hidratos";"g
Fibra Diet.
total";"g
Ceniza";"mg
Calcio";"mg
Fosforo";"mg
Hierro";"mg
Tiamina";"mg
Riboflavina";"mg
Niacina";"mg
Vit. C";"mcg
Vit. A Equiv.
Retinol";"g
Ác. grasos
mono-insat.";"g
Ác. grasos
poli-insat.";"g
Ác. Grasos
saturados";"mg
Colesterol";"mg
Potasio";"mg
Sodio";"mg
Zinc";"mg
Magnesio";"mg
Vit. B6";"mcg
Vit. B12";"mcg
Ac. Fólico";"mcg
Folato
Equiv. FD";"%
Fracción
Comestible"
13028;«CSB» CORN SOY BLEND (PL 480);9.70;376;17.20;6.90;61.70;9.00;1.80;831;206;17.49;0.53;0.48;6.23;40;784;;;;;634;7;5.00;174;;1.00;;;1.00
13030;«CSM» CORN SOY MILK (PL 480);8.43;375;21.35;6.76;57.84;7.89;2.90;1020;339;17.54;0.59;0.71;6.37;41;846;;;;;879;87;5.51;184;0.51;1.60;;;1.00
13029;«WSB» WHEAT SOY BLEND (PL 480);8.80;355;21.50;5.90;46.90;13.18;2.00;842;294;17.85;0.54;0.50;8.19;40;698;;;;;694;14;5.50;227;0.47;1.00;;;1.00
13112;«WSM» WHEAT SOY AND MILK (PL 480);7.92;358;25.08;5.82;43.31;10.44;2.96;1031;394;17.90;0.60;0.73;8.33;41;699;;;;;92;902;5.83;219;0.48;1.60;;;1.00
12001;ABERIA/KITEMBILLA;82.80;63;1.20;0.80;14.60;;0.60;13;26;1.20;0.02;0.04;0.30;98;;;;;;;;;;;;;;0.98
16029;ACEITE VEGETAL FORTIFICADO (PL 480);0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.02;0.00;0.00;0.00;0;1802;;;;;0;0;0.00;0;0.00;0.00;;;1.00
16002;ACEITE VEGETAL, DE AJONJOLÍ;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0.00;0;0;39.70;41.70;14.20;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16003;ACEITE VEGETAL, DE ALGODÓN;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0.00;0;0;17.80;51.90;25.90;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16004;ACEITE VEGETAL, DE COCO;0.00;862;0.00;100.00;0.00;0.00;0.00;0;0;0.04;0.00;0.00;0.00;0;0;5.80;1.80;86.50;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16005;ACEITE VEGETAL, DE GIRASOL;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.03;0.00;0.00;0.00;0;0;45.40;40.10;10.10;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16006;ACEITE VEGETAL, DE MAÍZ;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0.00;0;0;27.58;54.68;12.95;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16007;ACEITE VEGETAL, DE OLIVA;0.00;884;0.00;100.00;0.00;0.00;0.00;1;0;0.56;0.00;0.00;0.00;0;0;72.96;10.52;13.81;0;1;2;0.00;0;0.00;0.00;0;0;1.00
16008;ACEITE VEGETAL, DE PALMA, FRUTO COMPLETO;0.00;862;0.00;100.00;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0.00;0;0;11.40;1.60;81.50;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16022;ACEITE VEGETAL, DE PALMA, SOLO PULPA;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.01;0.00;0.00;0.00;0;0;37.00;9.30;49.30;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16009;ACEITE VEGETAL, DE SOYA;0.00;884;0.00;100.00;0.00;0.00;0.00;0;0;0.02;0.00;0.00;0.00;0;0;23.30;57.90;14.40;0;0;0;0.00;0;0.00;0.00;0;0;1.00
16010;ACEITE VEGETAL, TODA CLASE;;884;;100.00;0.00;;0.00;0;0;0.00;0.00;0.00;0.00;0;0;65.00;7.00;23.00;0;0;0;0.00;;0.00;0.00;0;;1.00
11003;ACEITUNA NEGRA O ACEITUNO DE EL SALVADOR;79.60;73;1.10;0.40;18.30;;0.60;19;26;0.80;0.02;0.04;0.36;34;;;;;;;;;;;;;;0.84
11004;ACEITUNA VERDE, ENVASADA;79.99;115;0.84;10.68;6.26;3.20;2.23;88;3;3.30;0.00;0.00;0.04;1;20;7.89;0.91;1.41;0;8;872;0.22;4;0.01;0.00;0;0;1.00
11002;ACELGA COCIDA S/SAL, ESCURRIDA;92.65;20;1.88;0.08;4.13;2.10;1.26;58;33;2.26;0.03;0.09;0.36;18;306;0.02;0.03;0.01;0;549;179;0.33;86;0.09;0.00;0;9;1.00
11001;ACELGA CRUDA;91.10;27;2.90;0.30;4.80;;;62;;3.90;0.05;0.23;0.50;6;330;;;;0;550;147;0.02;65;;0.00;90;;0.82
