ID,CODIGO,PAIS,ALIMENTO,TIPO,CEPA,PARTE,PROCESO,GRADO,MENSAJE,GENERO,ESPECIE,VARIEDAD,NOMBRE_ALT,NOMBRE_COMERCIAL,REFERENCIA,NOMBRE_CORTO,WATER,PROCNT,XN,FAT,ASH,FIBTG,CHOCDF,CHOAVL,ENERC,ENERC_KJ,FASAT,FAMS,FAPU,CHOLE,NA,K,CA,P,FE,ZN,VITA,CARTBEQ,THIA,RIBF,NIA,VITC
1,A001,Perú,Achita,,,,cruda,,,Amaranthus,caudatus,,"Achis, Kiwita",,,"Achita, cruda ",12,"13,5",,"7,1","2,4",,65,,,,,,,,,,236,453,"7,5",,,,"0,3","0,01","0,4","1,3"
2,A002,Perú,Achita,,,,tostada,,,Amaranthus,caudatus,,"Achis, Kiwita",,,"Achita, tostada","0,7","14,5",,"7,8","2,7",,"74,3",,,,,,,,,,283,502,"8,1",,,,"0,01","0,01","1,3","0,5"
3,A003,Bolivia,Trigo,afrechillo,,semilla y cáscara,,,,Triticum ,aestivum,,,,,"Afrechillo, de trigo ","6,9","11,3",,"3,6","5,1",,"73,1",,,,,,,,,,171,728,"19,5",,6,,"0,36","0,88","8,69",0
4,A004,Ecuador,Cebada,afrecho,,,,,,Hordeum,sativum,,,,13,"Afrecho, de cebada",7,,,"6,7","4,3","22,1",,,,,,,,,,,,,,,,,,,,
5,A005,Perú,Quinoa,afrecho,,,,,,Chenopodium ,quinoa,Wild,,,,"Afrecho, de quinua","14,1","10,7",,"4,5","4,8",,"65,9",,,,,,,,,,573,342,4,,,,"0,21","0,22",1,
6,A006,Venezuela,Trigo,afrecho,,,,,,,,Dark North Spring,,,,"Afrecho, de trigo, Dark N.Spring","13,2","16,3","6,25","4,5","6,1","43,8","59,9","16,1","170,1","711,7",,,,,"7,4",856,85,1510,"12,9","9,7",,,"0,8","0,38","28,8",
7,A007,Venezuela,Trigo,afrecho,,,,,,,,Durum,,,,"Afrecho, de trigo, Durum","10,4","13,3","6,25","5,2","5,5","47,7","65,6","17,9","171,6","717,97",,,,,"9,3",867,86,1261,"11,9","7,5",,,"0,45","0,41","15,7",
8,A008,Venezuela,Trigo,afrecho,soft,,,,,,,,,,,"Afrecho, de trigo, soft","9,9","14,2","6,25","4,4","4,9","42,5","66,6","24,1","192,8","806,68",,,,,"8,6",833,82,1186,"13,2","7,3",,,"0,68","0,39","10,5",
9,A009,Colombia,Almojábana,bogotana,,,,,De maíz blanco trillado y queso en proporciones iguales,,,,,,,"Almojábana, bogotana","41,3",13,,"12,3","2,8",,"30,6",,,,,,,,,,320,330,"3,6",,0,,"0,08","0,4","0,9",0
10,A010,Colombia,Almojábana,vallecaucana,,,,,De maíz blanco trillado y queso en proporciones iguales,,,,,,,"Almojábana, vallecaucana","29,1","17,5",,"14,7","4,1",,"34,6",,,,,,,,,,500,340,"0,8",,0,,"0,04","0,4","0,1",0
11,A712,Bolivia,Amaranto,grano ,,grano entero,crudo,seco,Cereal andino,Amaranthus ,caudatus L.,,"achita , kiwicha",Proimpa,Lab.Nutricion INLASA,Amaranto ,"11,2","13,2",,7,"2,1",,"66,5",,,,,,,,,,"249,3",459,"6,6",,,,"0,31","0,02","0,4",
12,A011,México,Amaranto,,,grano,tostado,seco,,,,,Alegría,,,"Amaranto, grano, tostado, seco","4,3","13,5","6,25","8,2","2,9",,"71,1",,,,,,,0,,,292,517,"1,6",,0,,0,"0,32","1,1",0
13,A012,México,Amaranto,,,hojas y tallo,crudo,fresco,,Amaranthus,caudatus,,,,,"Amaranto, hoja y tallo, crudo","12,3","12,9","6,25","7,2","2,5",,"65,1",,,,,,,0,,,247,500,"3,4",,0,,"0,14","0,32",1,0
14,A713,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,mantegazzianus,,,,CITA-UNJu,"Amaranto, semilla, cruda","10,8","15,4","6,25","8,4","2,8",,"62,7",,,,,,,,,,,,"8,22",4,,,,,,
15,A714,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,caudatus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,2","15,3","6,25","7,6","2,29",,"63,6",,,,,,,,,,,,"12,17","4,8",,,,,,
16,A715,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,cruentus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,3","15,6","6,25","7,6","2,18",,"63,4",,,,,,,,,,,,"10,89","3,8",,,,,,
17,A716,Argentina,Amaranto,,,semilla,cruda,,,Amarantus,hipochondriacus,,,,CITA-UNJu,"Amaranto, semilla, cruda","11,5","14,4","6,25","7,4","2,47",,"64,3",,,,,,,,,,,,"13,5","4,9",,,,,,
18,A717,Bolivia,Amaranto ,grano,,grano,tostado,seco,Cereal andino,Amaranthus ,caudatus L.,,"achita , kiwicha",Proimpa,Lab.Nutricion INLASA,"Amaranto, tostado ","9,13","12,97",,"6,74","2,15",,"69,01",,,,,,,,,,"250,3","468,5","6,8",,,,"0,01","0,01","1,22",
