name,waterPercentage,caloriesKcal,proteinG,totalFatG,carbohydratesG,dietaryFiberG,calciumMg,phosphorusMg,ironMg,thiamineMg,riboflavinMg,niacinMg,vitaminCmg,vitaminAEquivRetinolMcg,monounsaturatedFatG,polyunsaturatedFatG,saturatedFatG,cholesterolMg,potassiumMg,sodiumMg,zincMg,magnesiumMg,vitaminB6Mg,vitaminB12Mcg,folicAcidMcg,folateEquivFDMcg,edibleFractionPercentage,categoryId
Arveja Grano Seco,11.27,341,24.55,1.16,60.37,25.5,55.0,366.0,4.43,0.73,0.22,2.89,2.0,7.0,0.24,0.5,0.16,0.0,981.0,15.0,3.01,115.0,0.17,0.0,0.0,274.0,1.0,1
Arveja Grano Seco Cocido S/Sal,69.49,118,8.34,0.39,21.1,8.3,14.0,99.0,1.29,0.19,0.06,0.89,0.0,0.0,0.08,0.17,0.05,0.0,362.0,2.0,1.0,36.0,0.05,0.0,0.0,65.0,1.0,1
Arveja Grano Seco Harina,10.0,351,23.4,2.1,62.0,0.0,81.0,297.0,6.0,0.59,0.17,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Frijol Blanco Cocido S/Sal,63.08,139,9.73,0.35,25.09,6.3,90.0,113.0,3.7,0.12,0.05,0.14,0.0,0.0,0.03,0.15,0.09,0.0,561.0,6.0,1.38,63.0,0.09,0.0,0.0,81.0,1.0,1
Frijol Blanco Enlatado,70.1,117,7.26,0.29,21.94,4.8,73.0,91.0,2.99,0.1,0.04,0.11,0.0,0.0,0.03,0.12,0.07,0.0,454.0,5.0,1.12,51.0,0.08,0.0,0.0,65.0,1.0,1
Frijol Blanco Grano Seco,11.32,333,23.36,0.85,60.27,15.2,240.0,301.0,10.44,0.44,0.15,0.48,0.0,0.0,0.07,0.36,0.22,0.0,1795.0,16.0,3.67,190.0,0.32,0.0,0.0,388.0,1.0,1
Frijol Caupi O Costeño Grano Seco,11.95,336,23.52,1.26,60.03,10.6,110.0,424.0,8.27,0.85,0.23,2.08,2.0,3.0,0.11,0.54,0.33,0.0,1112.0,16.0,3.37,184.0,0.36,0.0,0.0,633.0,1.0,1
Frijol Chiricano De Panamá Grano Seco,0.0,359,21.0,0.9,68.5,15.2,67.0,510.0,6.5,0.82,0.15,2.0,0.0,0.0,0.08,0.59,0.15,0.0,1359.0,12.0,2.79,0.0,0.4,0.0,0.0,394.0,1.0,1
Frijol Cuba O Piloy Grano Seco,13.6,328,22.8,1.5,58.1,16.4,128.0,328.0,5.4,0.3,0.11,2.1,0.0,1.0,0.08,0.23,0.15,0.0,1359.0,12.0,2.79,0.0,0.4,0.0,394.0,0.0,1.0,1
Frijol Lablab O Frijol Trepador Grano Seco,9.38,344,23.9,1.69,60.76,0.0,130.0,372.0,5.1,1.13,0.14,1.61,0.0,0.0,0.0,0.0,0.29,0.0,1235.0,21.0,9.3,283.0,0.16,0.0,0.0,23.0,1.0,1
